iso	hs2	year	x	x_wd	description	product_name
"BWA"	54	2000	294914	35188215808	"Man-made filaments"	"MAN-MADE FILAMENTS; STRIP AND THE LIKE OF MAN-MADE TEXTILE MATERIALS"
"BWA"	54	2023	1240	59911741440	"Man-made filaments"	"MAN-MADE FILAMENTS; STRIP AND THE LIKE OF MAN-MADE TEXTILE MATERIALS"
"BWA"	55	2000	142285	26643146752	"Man-made staple fibres"	"MAN-MADE STAPLE FIBRES"
"BWA"	55	2023	3575	42285936640	"Man-made staple fibres"	"MAN-MADE STAPLE FIBRES"
"BWA"	56	2000	35543	10708745216	"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof"	"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF"
"BWA"	56	2023	163635	35038097408	"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof"	"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF"
"BWA"	57	2000	1825453	9356274688	"Carpets and other textile floor coverings"	"CARPETS AND OTHER TEXTILE FLOOR COVERINGS"
"BWA"	57	2023	47453	19028826112	"Carpets and other textile floor coverings"	"CARPETS AND OTHER TEXTILE FLOOR COVERINGS"
"BWA"	58	2000	117305	9091757056	"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery"	"SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY"
"BWA"	58	2023	2396443	13557156864	"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery"	"SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY"
"BWA"	59	2000	40606	14472895488	"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use"	"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE"
"BWA"	59	2023	31908	32233594880	"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use"	"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE"
"BWA"	60	2000	1231941	16762724352	"Fabrics; knitted or crocheted"	"KNITTED OR CROCHETED FABRICS"
"BWA"	60	2023	556007	40081297408	"Fabrics; knitted or crocheted"	"KNITTED OR CROCHETED FABRICS"
"BWA"	61	2000	17474531	85330059264	"Apparel and clothing accessories; knitted or crocheted"	"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED"
"BWA"	61	2023	2704511	280017436672	"Apparel and clothing accessories; knitted or crocheted"	"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED"
"BWA"	62	2000	12850344	111565348864	"Apparel and clothing accessories; not knitted or crocheted"	"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED"
"BWA"	62	2023	5959296	270679752704	"Apparel and clothing accessories; not knitted or crocheted"	"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED"
"BWA"	63	2000	11409152	18995804160	"Textiles, made up articles; sets; worn clothing and worn textile articles; rags"	"OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS"
"BWA"	63	2023	15360130	81697390592	"Textiles, made up articles; sets; worn clothing and worn textile articles; rags"	"OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS"
"BWA"	64	2000	2018158	51533819904	"Footwear; gaiters and the like; parts of such articles"	"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES"
"BWA"	64	2023	8962122	204196102144	"Footwear; gaiters and the like; parts of such articles"	"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES"
"BWA"	65	2000	212652	3166132224	"Headgear and parts thereof"	"HEADGEAR AND PARTS THEREOF"
"BWA"	65	2023	92628	15710869504	"Headgear and parts thereof"	"HEADGEAR AND PARTS THEREOF"
"BWA"	66	2000	17867	1454998912	"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof"	"UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF"
"BWA"	66	2023	10558	4378098688	"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof"	"UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF"
"BWA"	67	2000	530675	2489693952	"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair"	"PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR"
"BWA"	67	2023	6441	13489965056	"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair"	"PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR"
"BWA"	68	2000	201940	19701008384	"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof"	"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS"
"BWA"	68	2023	6189822	72037400576	"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof"	"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS"
"BWA"	69	2000	107220	25651656704	"Ceramic products"	"CERAMIC PRODUCTS"
"BWA"	69	2023	125255	77518315520	"Ceramic products"	"CERAMIC PRODUCTS"
"BWA"	70	2000	342495	35301806080	"Glass and glassware"	"GLASS AND GLASSWARE"
"BWA"	70	2023	379977	103498596352	"Glass and glassware"	"GLASS AND GLASSWARE"
"BWA"	71	2000	2305254826	158544560128	"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"	"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN"
"BWA"	71	2023	4357365455	974754676736	"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"	"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN"
"BWA"	72	2000	6133477	138131898368	"Iron and steel"	"IRON AND STEEL"
"BWA"	72	2023	16296005	527672541184	"Iron and steel"	"IRON AND STEEL"
"BWA"	73	2000	3973791	99487580160	"Iron or steel articles"	"ARTICLES OF IRON OR STEEL"
"BWA"	73	2023	4950626	440803098624	"Iron or steel articles"	"ARTICLES OF IRON OR STEEL"
"BWA"	74	2000	162184143	43228020736	"Copper and articles thereof"	"COPPER AND ARTICLES THEREOF"
"BWA"	74	2023	6820485	224721960960	"Copper and articles thereof"	"COPPER AND ARTICLES THEREOF"
"BWA"	75	2000	14930	10825010176	"Nickel and articles thereof"	"NICKEL AND ARTICLES THEREOF"
"BWA"	75	2023	4782433	49692323840	"Nickel and articles thereof"	"NICKEL AND ARTICLES THEREOF"
"BWA"	76	2000	71525	70875398144	"Aluminium and articles thereof"	"ALUMINIUM AND ARTICLES THEREOF"
"BWA"	76	2023	4539418	260161896448	"Aluminium and articles thereof"	"ALUMINIUM AND ARTICLES THEREOF"
"BWA"	78	2000	9434	1736383232	"Lead and articles thereof"	"LEAD AND ARTICLES THEREOF"
